"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2867","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:01:29 UTC 2025","passed","Fri Aug 15 08:01:32 UTC 2025","TestChosen","test_chosen_category","",""
"","975","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:48 UTC 2025","passed","Fri Aug 15 07:57:49 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1663","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 07:59:47 UTC 2025","passed","Fri Aug 15 07:59:48 UTC 2025","TestChosen","test_chosen_category","",""
"","3565","Checking breadcrumb on cart page","tests.test_breadcrumb","Fri Aug 15 07:57:48 UTC 2025","passed","Fri Aug 15 07:57:51 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","2737","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:00:31 UTC 2025","passed","Fri Aug 15 08:00:34 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","4445","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:31 UTC 2025","passed","Fri Aug 15 08:04:35 UTC 2025","TestNavbar","test_navbar","",""
"","3547","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:04:48 UTC 2025","passed","Fri Aug 15 08:04:52 UTC 2025","TestScrollUp","test_scroll_up","",""
"","2271","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:47 UTC 2025","passed","Fri Aug 15 08:03:49 UTC 2025","TestNavbar","test_navbar","",""
"","7386","Checking search products on static page","tests.test_search_products","Fri Aug 15 08:07:05 UTC 2025","passed","Fri Aug 15 08:07:13 UTC 2025","","test_search_products","",""
"","1588","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:03:21 UTC 2025","passed","Fri Aug 15 08:03:22 UTC 2025","TestChosen","test_chosen_category","",""
"","1894","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:16 UTC 2025","passed","Fri Aug 15 08:02:18 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3552","Checking brands on static pages","tests.test_brands","Fri Aug 15 07:59:14 UTC 2025","passed","Fri Aug 15 07:59:18 UTC 2025","","test_brands","",""
"","1689","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:59:26 UTC 2025","passed","Fri Aug 15 07:59:27 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","4386","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:16 UTC 2025","passed","Fri Aug 15 08:04:21 UTC 2025","TestNavbar","test_navbar","",""
"","3523","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:03:28 UTC 2025","passed","Fri Aug 15 08:03:31 UTC 2025","TestNavbar","test_navbar","",""
"","1769","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:12 UTC 2025","passed","Fri Aug 15 08:02:14 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","2725","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:02:59 UTC 2025","passed","Fri Aug 15 08:03:01 UTC 2025","TestChosen","test_chosen_category","",""
"","3199","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:44 UTC 2025","passed","Fri Aug 15 08:05:47 UTC 2025","TestScrollUp","test_scroll_up","",""
"","1850","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:00:35 UTC 2025","passed","Fri Aug 15 08:00:37 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","3267","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:57 UTC 2025","passed","Fri Aug 15 08:02:00 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1001","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:46 UTC 2025","passed","Fri Aug 15 07:57:47 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
